model,input,prompt,created_facts,total_tokens
llama3.1:8b,"give a list of days that teams t1, t2, t3 and t4 play.",",","playingday_request(t1).
playingday_request(t2).
playingday_request(t3).
playingday_request(t4).
playing_request(t1, day1).
playing_request(t2, day2).
playing_request(t3, day3).
playing_request(t4, day4).
schedule_request([t1, t2, t3, t4], [day1, day2, day3, day4]).",404
llama3.1:8b,"give a list of days that teams t1, t2, t3 and t4 play.","[INPUT]Add team t2 to the mens league[/INPUT] becomes [OUTPUT]team(t2,men)[/OUTPUT],","schedule_request([t1,t2,t3,t4]).",357
llama3.1:8b,"give a list of days that teams t1, t2, t3 and t4 play.","[INPUT]Add playing day 12[/INPUT] becomes [OUTPUT]potentialGameDay(12)[/OUTPUT],","schedule_request([t1, t2, t3, t4]).",357
llama3.1:8b,"give a list of days that teams t1, t2, t3 and t4 play.","[INPUT]Add playing days 15 till 20[/INPUT] becomes [OUTPUT]potentialGameDay(15..20)[/OUTPUT],","schedule_request([t1, t2, t3, t4]).",462
llama3.1:8b,"give a list of days that teams t1, t2, t3 and t4 play.","[INPUT]What is the full schedule?[/INPUT] becomes [OUTPUT]schedule_request(yes)[/OUTPUT],","playingday_request(t1).
playingday_request(t2).
playingday_request(t3).
playingday_request(t4).
playing_request(t1, day1).
playing_request(t2, day2).
playing_request(t3, day3).
playing_request(t4, day4).
playing_request(t1, day5).
playing_request(t2, day6).
playing_request(t3, day7).
playing_request(t4, day8).
schedule_request(day1, t1, field1).
schedule_request(day1, t2, field2).
schedule_request(day2, t3, field3).
schedule_request(day2, t4, field4).
schedule_request(day3, t1, field5).
schedule_request(day3, t2, field6).
schedule_request(day4, t3, field7).
schedule_request(day4, t4, field8).
schedule_request(day5, t1, field9).
schedule_request(day5, t2, field10).
schedule_request(day6, t3, field11).
schedule_request(day6, t4, field12).
schedule_request(day7, t1, field13).
schedule_request(day7, t2, field14).
schedule_request(day8, t3, field15).
schedule_request(day8, t4, field16).
schedule_request(day9, t1, field17).
schedule_request(day9, t2, field18).
schedule_request(day10, t3, field19).
schedule_request(day10, t4, field20).
schedule_request(day11, t1, field21).
schedule_request(day11, t2, field22).
schedule_request(day12, t3, field23).
schedule_request(day12, t4, field24).
schedule_request(day13, t1, field25).
schedule_request(day13, t2, field26).
schedule_request(day14, t3, field27).
schedule_request(day14, t4, field28).
schedule_request(day15, t1, field29).
schedule_request(day15, t2, field30).
schedule_request(day16, t3, field31).
schedule_request(day16, t4, field32).
schedule_request(day17, t1, field33).
schedule_request(day17, t2, field34).
schedule_request(day18, t3, field35).
schedule_request(day18, t4, field36).
schedule_request(day19, t1, field37).
schedule_request(day19, t2, field38).
schedule_request(day20, t3, field39).
schedule_request(day20, t4, field40).
schedule_request(day21, t1, field41).
schedule_request(day21, t2, field42).
schedule_request(day22, t3, field43).
schedule_request(day22, t4, field44).
schedule_request(day23, t1, field45).
schedule_request(day23, t2, field46).
schedule_request(day24, t3, field47).
schedule_request(day24, t4, field48).
schedule_request(day25, t1, field49).
schedule_request(day25, t2, field50).
schedule_request(day26, t3, field51).
schedule_request(day26, t4, field52).
schedule_request(day27, t1, field53).
schedule_request(day27, t2, field54).
schedule_request(day28, t3, field55).
schedule_request(day28, t4, field56).
schedule_request(day29, t1, field57).
schedule_request(day29, t2, field58).
schedule_request(day30, t3, field59).
schedule_request(day30, t4, field60).
schedule_request(day31, t1, field61).
schedule_request(day31, t2, field62).
schedule_request(day32, t3, field63).
schedule_request(day32, t4, field64).
schedule_request(day33, t1, field65).
schedule_request(day33, t2, field66).
schedule_request(day34, t3, field67).
schedule_request(day34, t4, field68).
schedule_request(day35, t1, field69).
schedule_request(day35, t2, field70).
schedule_request(day36, t3, field71).
schedule_request(day36, t4, field72).
schedule_request(day37, t1, field73).
schedule_request(day37, t2, field74).
schedule_request(day38, t3, field75).
schedule_request(day38, t4, field76).
schedule_request(day39, t1, field77).
schedule_request(day39, t2, field78).
schedule_request(day40, t3, field79).
schedule_request(day40, t4, field80).
schedule_request(day41, t1, field81).
schedule_request(day41, t2, field82).
schedule_request(day42, t3, field83).
schedule_request(day42, t4, field84).
schedule_request(day43, t1, field85).
schedule_request(day43, t2, field86).
schedule_request(day44, t3, field87).
schedule_request(day44, t4, field88).
schedule_request(day45, t1, field89).
schedule_request(day45, t2, field90).
schedule_request(day46, t3, field91).
schedule_request(day46, t4, field92).
schedule_request(day47, t1, field93).
schedule_request(day47, t2, field94).
schedule_request(day48, t3, field95).
schedule_request(day48, t4, field96).
schedule_request(day49, t1, field97).
schedule_request(day49, t2, field98).
schedule_request(day50, t3, field99).
schedule_request(day50, t4, field100).",1536
llama3.1:8b,"give a list of days that teams t1, t2, t3 and t4 play.","[INPUT]When is team goblins playing?[/INPUT] becomes [OUTPUT]playingday_request(goblins)[/OUTPUT],","schedule_request(t1, t2, t3, t4).",358
llama3.1:8b,"give a list of days that teams t1, t2, t3 and t4 play.","[INPUT]Is team lizards playing on day 10?[/INPUT] becomes [OUTPUT]playing_request(lizards,10)[/OUTPUT],","schedule_request([t1,10],[t2,15],[t3,20],[t4,25]).",371
llama3.1:8b,"give a list of days that teams t1, t2, t3 and t4 play.",", | [INPUT]Add team t2 to the mens league[/INPUT] becomes [OUTPUT]team(t2,men)[/OUTPUT],","schedule_request([t1,t2,t3,t4]).",358
llama3.1:8b,"give a list of days that teams t1, t2, t3 and t4 play.",", | [INPUT]Add playing day 12[/INPUT] becomes [OUTPUT]potentialGameDay(12)[/OUTPUT],","schedule_request([t1, t2, t3, t4]).",358
llama3.1:8b,"give a list of days that teams t1, t2, t3 and t4 play.",", | [INPUT]Add playing days 15 till 20[/INPUT] becomes [OUTPUT]potentialGameDay(15..20)[/OUTPUT],","schedule_request([t1, t2, t3, t4]).",363
